event_id,event_recurring_id,event_name,event_subtitle,event_start_date,event_end_date,event_cost,event_location,event_address,event_city,event_state,event_zip,event_content,event_minutes_bit,event_agenda_bit,event_download_bit,event_hompage_bit,event_multi_bit,event_notify_bit,event_thumbnail_cmt_image_id,event_notify_date,event_date,event_user,event_live,,,,
17873,0,Council Meeting,,00:00.0,00:00.0,,Council Chamber,2nd floor,200 E Main St,Lexington,Kentucky,40507,,,0,0,0,0,0,0,0,0,1/1/1900 0:00:00,50:12.7,274,0,
17888,0,Council Meeting,,00:00.0,00:00.0,,Council Chamber,2nd floor,200 E Main St,Lexington,Kentucky,40507,,,0,0,0,0,0,0,0,0,1/1/1900 0:00:00,50:12.7,274,1,
16771,16765,Land Subdivision Regulations Waiver Request Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,25:40.6,67,0,
16783,16765,Land Subdivision Regulations Waiver Request Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,25:40.6,67,1,
16795,16789,Planning Commission - Subdivision (Sub)Committee Meeting,,30:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,Please click here to view the agenda for this meeting.,0,1,0,1,0,1,0,0,1/1/1900 0:00:00,41:42.7,67,0,
16834,16789,Planning Commission - Subdivision (Sub)Committee Meeting,,30:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,35:10.3,67,1,
16954,16935,Planning Commission - Zoning (Sub)Committee Meeting,,30:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,41:35.9,67,0,
16966,16935,Planning Commission - Zoning (Sub)Committee Meeting,,30:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,41:35.9,67,1,
17040,17034,Variances & Early Rehearing Requests Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,27:44.7,67,0,
17079,17034,Variances & Early Rehearing Requests Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,27:44.7,67,1,
16822,16801,Reapproval & Approval Extension Request Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,39:07.1,67,1,
16807,16801,Reapproval & Approval Extension Request Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,39:07.1,67,0,
17889,0,Council Meeting,,00:00.0,00:00.0,,Council Chamber,2nd floor,200 E Main St,Lexington,Kentucky,40507,,,0,0,0,0,0,0,0,0,1/1/1900 0:00:00,50:29.5,274,1,
17874,0,Council Meeting,,00:00.0,00:00.0,,Council Chamber,2nd floor,200 E Main St,Lexington,Kentucky,40507,,,0,0,0,0,0,0,0,0,1/1/1900 0:00:00,50:29.5,274,0,
16047,15892,Bicycle Pedestrian Advisory Committee Meeting (BPAC),,00:00.0,00:00.0,,Phoenix Building (7th floor conference room),101 E. Vine Street 7th Floor,Lexington,Kentucky,40507,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,53:45.1,235,1,,
15972,15892,Bicycle Pedestrian Advisory Committee Meeting (BPAC),,00:00.0,00:00.0,,Phoenix Building (7th floor conference room),101 E. Vine Street 7th Floor,Lexington,Kentucky,40507,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,53:45.1,235,0,,
18297,0,Bid# 94-2016 Natural Gas & Cast Iron Radiators-Parts Only,Bid Opening,00:00.0,00:00.0,,3rd Floor Purchasing Conference Room,200 East Main St.,Lexington,Kentucky,40507,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,57:28.5,246,0,,
18299,0,Bid# 94-2016 Natural Gas & Cast Iron Radiators-Parts Only,Bid Opening,00:00.0,00:00.0,,3rd Floor Purchasing Conference Room,200 East Main St.,Lexington,Kentucky,40507,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,57:28.5,246,1,,
18300,0,Bid# 93-2016 Hooklift Vehicle,Bid Opening,00:00.0,00:00.0,,3rd Floor Purchasing Conference Room,200 East Main St.,Lexington,Kentucky,40507,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,58:38.0,246,1,,
18298,0,Bid# 93-2016 Hooklift Vehicle,Bid Opening,00:00.0,00:00.0,,3rd Floor Purchasing Conference Room,200 East Main St.,Lexington,Kentucky,40507,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,58:38.0,246,0,,
18017,17931,International Affairs Advisory Commission壽猻 Education and Advocacy Committee,,30:00.0,00:00.0,,Global Lexington,1306 Versailles Road,Suite 110,Lexington,Kentucky,40504,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,00:00.0,273,1,
17935,17931,International Affairs Advisory Commission壽猻 Education and Advocacy Committee,,30:00.0,00:00.0,,Global Lexington,1306 Versailles Road,Suite 110,Lexington,Kentucky,40504,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,00:00.0,273,0,
17919,17914,Media and Communications Committee - CANCELLED,,00:00.0,00:00.0,,Global Lex,1306 Versailles Road,Suite 110,Lexington,Kentucky,40504,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,10:31.1,273,0,
18024,17914,Media and Communications Committee - CANCELLED,,00:00.0,00:00.0,,Global Lex,1306 Versailles Road,Suite 110,Lexington,Kentucky,40504,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,10:31.1,273,1,
14760,14750,Transportation Technical Coordination Committee,(TTCC),00:00.0,30:00.0,,Phoenix Building (7th floor conference room),101 E. Vine Street 7th Floor,Lexington,Kentucky,40507,,,0,0,1,1,0,0,0,0,1/1/1900 0:00:00,19:08.0,235,0,,
14813,14750,Transportation Technical Coordination Committee,(TTCC),00:00.0,30:00.0,,Phoenix Building (7th floor conference room),101 E. Vine Street 7th Floor,Lexington,Kentucky,40507,,,0,0,1,1,0,0,0,0,1/1/1900 0:00:00,19:08.0,235,1,,
16406,16394,Tree Board,,30:00.0,00:00.0,,Government Center -- 5th floor conference room,200 East Main Street,Lexington,Kentucky,,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,55:23.2,44,0,,
16408,16394,Tree Board,,30:00.0,00:00.0,,Government Center -- 5th floor conference room,200 East Main Street,Lexington,Kentucky,,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,55:23.2,44,1,,
18303,0,Bid# 95-2016 Audio Visual Systems for Phase II of PSOC,Bid Opening,00:00.0,00:00.0,,3rd Floor Purchasing Conference Room,200 East Main St.,Lexington,Kentucky,40507,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,53:29.0,246,0,,
18304,0,Bid# 95-2016 Audio Visual Systems for Phase II of PSOC,Bid Opening,00:00.0,00:00.0,,3rd Floor Purchasing Conference Room,200 East Main St.,Lexington,Kentucky,40507,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,53:29.0,246,1,,
17769,0,Board of Architectural Review,,00:00.0,00:00.0,,Council Chambers,200 East Main Street,Lexington,Kentucky,40507,,,0,0,0,0,0,0,0,0,1/1/1900 0:00:00,54:16.8,50,1,,
17750,0,Board of Architectural Review,,00:00.0,00:00.0,,Council Chambers,200 East Main Street,Lexington,Kentucky,40507,,,0,0,0,0,0,0,0,0,1/1/1900 0:00:00,54:16.8,50,0,,
17826,0,Water Quality Fees Board,,00:00.0,00:00.0,,Tate Building,first floor training room,125 Lisle Industrial Ave.,Ste 180,Lexington,Kentucky,,,,0,0,0,0,0,0,0,0,1/1/1900 0:00:00,24:20.2,116,0
17827,0,Water Quality Fees Board,,00:00.0,00:00.0,,Tate Building,first floor training room,125 Lisle Industrial Ave.,Ste 180,Lexington,Kentucky,,,,0,0,0,0,0,0,0,0,1/1/1900 0:00:00,24:20.2,116,1
16855,16849,Planning Commission Meeting - Subdivision Items,,30:00.0,00:00.0,$0,Council Chambers,2nd Floor,200 East Main Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,51:17.8,67,0,
16867,16849,Planning Commission Meeting - Subdivision Items,,30:00.0,00:00.0,$0,Council Chambers,2nd Floor,200 East Main Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,51:17.8,67,1,
17953,17948,International Affairs Advisory Commission壽猻 Cultural Affairs Committee,,00:00.0,00:00.0,,Global Lexington,1306 Versailles Road,Suite 110,Lexington,Kentucky,40504,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,03:03.6,273,0,
18002,17948,International Affairs Advisory Commission壽猻 Cultural Affairs Committee,,00:00.0,00:00.0,,Global Lexington,1306 Versailles Road,Suite 110,Lexington,Kentucky,40504,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,03:03.6,273,1,
16879,16873,All Plan Certifications for Technical Committee Review - Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,56:53.6,67,0,
16891,16873,All Plan Certifications for Technical Committee Review - Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,56:53.6,67,1,
16929,16922,ND-1 Overlay Zoning Amendment Applications Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,10:08.1,67,0,
16947,16922,ND-1 Overlay Zoning Amendment Applications Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,10:08.1,67,1,
17781,0,Rural Land Management Board Work Session & Meeting,,00:00.0,00:00.0,,12th Floor Conference Room,Government Center,,,Kentucky,,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,03:08.9,273,0,
17789,0,Rural Land Management Board Work Session & Meeting,,00:00.0,00:00.0,,12th Floor Conference Room,Government Center,,,Kentucky,,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,03:08.9,273,1,
18289,0,Corridors Commission Public Art Sub-Committee,,00:00.0,00:00.0,,CAO Conference Room,200 East Main Street,,Kentucky,,,,0,0,0,0,0,0,0,0,1/1/1900 0:00:00,13:34.8,176,0,,
18290,0,Corridors Commission Public Art Sub-Committee,,00:00.0,00:00.0,,CAO Conference Room,200 East Main Street,,Kentucky,,,,0,0,0,0,0,0,0,0,1/1/1900 0:00:00,13:34.8,176,1,,
17693,0,Greenspace Commission Committee Meeting,,00:00.0,00:00.0,,7th floor Phoenix Building,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,15:45.4,66,0,,
17704,0,Greenspace Commission Committee Meeting,,00:00.0,00:00.0,,7th floor Phoenix Building,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,15:45.4,66,1,,
18042,0,City Employees Pension Fund Board Meeting,,00:00.0,00:00.0,,12th Floor Conference Room,200 E. Main St.,Lexington,Kentucky,40507,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,36:27.8,253,0,,
18045,0,City Employees Pension Fund Board Meeting,,00:00.0,00:00.0,,12th Floor Conference Room,200 E. Main St.,Lexington,Kentucky,40507,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,36:27.8,253,1,,
18301,0,How to Maximize TSMSDC MBE Certification to Grow Your Business,LFUCG Training Class,00:00.0,00:00.0,,Basement Training Room B109,200 East Main St.,Lexington,Kentucky,40507,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,41:39.7,284,0,,
18302,0,How to Maximize TSMSDC MBE Certification to Grow Your Business,LFUCG Training Class,00:00.0,00:00.0,,Basement Training Room B109,200 East Main St.,Lexington,Kentucky,40507,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,41:39.7,284,1,,
17029,17010,Conditional Use & Administrative Appeal Application Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,53:29.8,67,1,
17017,17010,Conditional Use & Administrative Appeal Application Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,53:29.8,67,0,
16757,16740,Technical Committee Meeting,,30:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,05:21.9,67,1,
16747,16740,Technical Committee Meeting,,30:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,05:21.9,67,0,
18130,0,Social Services Advisory Board,,30:00.0,00:00.0,,Day Treatment Center,1177 Red Mile Place,Lexington,Kentucky,40504,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,48:29.2,273,0,,
18131,0,Social Services Advisory Board,,30:00.0,00:00.0,,Day Treatment Center,1177 Red Mile Place,Lexington,Kentucky,40504,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,48:29.2,273,1,,
17751,0,Board of Architectural Review,,00:00.0,00:00.0,,Council Chambers,200 East Main Street,Lexington,Kentucky,40507,,,0,0,0,0,0,0,0,0,1/1/1900 0:00:00,55:11.3,50,0,,
17768,0,Board of Architectural Review,,00:00.0,00:00.0,,Council Chambers,200 East Main Street,Lexington,Kentucky,40507,,,0,0,0,0,0,0,0,0,1/1/1900 0:00:00,55:11.3,50,1,,
16978,16972,Planning Commission Public Hearings - Zoning Items,,30:00.0,00:00.0,$0,Council Chambers,2nd Floor,200 East Main Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,52:10.8,67,0,
16991,16972,Planning Commission Public Hearings - Zoning Items,,30:00.0,00:00.0,$0,Council Chambers,2nd Floor,200 East Main Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,52:10.8,67,1,
17052,17046,Board of Adjustment Hearing,,30:00.0,00:00.0,$0,Council Chambers,2nd Floor,200 East Main Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,38:01.1,67,0,
17067,17046,Board of Adjustment Hearing,,30:00.0,00:00.0,$0,Council Chambers,2nd Floor,200 East Main Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,38:01.1,67,1,
16913,16897,Zoning Amendment Applications Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,23:50.1,67,1,
16906,16897,Zoning Amendment Applications Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,23:50.1,67,0,
16735,16714,Subdivision Plans & All Development Plans Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,50:00.8,67,1,
16723,16714,Subdivision Plans & All Development Plans Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,50:00.8,67,0,
16784,16765,Land Subdivision Regulations Waiver Request Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,25:40.6,67,1,
16772,16765,Land Subdivision Regulations Waiver Request Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,25:40.6,67,0,
16796,16789,Planning Commission - Subdivision (Sub)Committee Meeting,,30:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,35:49.3,67,0,
16835,16789,Planning Commission - Subdivision (Sub)Committee Meeting,,30:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,35:49.3,67,1,
17627,0,E-911 Board Meeting,,30:00.0,00:00.0,,Public Safety Conference Room #320,200 E. Main Street,Lexington,Kentucky,,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,54:06.5,47,1,,
17624,0,E-911 Board Meeting,,30:00.0,00:00.0,,Public Safety Conference Room #320,200 E. Main Street,Lexington,Kentucky,,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,54:06.5,47,0,,
16967,16935,Planning Commission - Zoning (Sub)Committee Meeting,,30:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,41:36.0,67,1,
16955,16935,Planning Commission - Zoning (Sub)Committee Meeting,,30:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,41:36.0,67,0,
17041,17034,Variances & Early Rehearing Requests Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,27:44.8,67,0,
17080,17034,Variances & Early Rehearing Requests Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,27:44.8,67,1,
16823,16801,Reapproval & Approval Extension Request Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,39:07.2,67,1,
16808,16801,Reapproval & Approval Extension Request Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,39:07.2,67,0,
18036,0,Ethics Commission Meeting,,30:00.0,00:00.0,,3rd floor Conference Room in the Phoenix Building,101 E. Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,23:54.0,253,1,,
18033,0,Ethics Commission Meeting,,30:00.0,00:00.0,,3rd floor Conference Room in the Phoenix Building,101 E. Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,23:54.0,253,0,,
16048,15892,Bicycle Pedestrian Advisory Committee Meeting (BPAC),,00:00.0,00:00.0,,Phoenix Building (7th floor conference room),101 E. Vine Street 7th Floor,Lexington,Kentucky,40507,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,06:10.9,235,1,,
15973,15892,Bicycle Pedestrian Advisory Committee Meeting (BPAC),,00:00.0,00:00.0,,Phoenix Building (7th floor conference room),101 E. Vine Street 7th Floor,Lexington,Kentucky,40507,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,06:10.9,235,0,,
18018,17931,International Affairs Advisory Commission壽猻 Education and Advocacy Committee,,30:00.0,00:00.0,,Global Lexington,1306 Versailles Road,Suite 110,Lexington,Kentucky,40504,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,00:00.0,273,1,
17936,17931,International Affairs Advisory Commission壽猻 Education and Advocacy Committee,,30:00.0,00:00.0,,Global Lexington,1306 Versailles Road,Suite 110,Lexington,Kentucky,40504,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,00:00.0,273,0,
17920,17914,Media and Communications Committee - CANCELLED,,00:00.0,00:00.0,,Global Lex,1306 Versailles Road,Suite 110,Lexington,Kentucky,40504,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,12:43.6,273,0,
18025,17914,Media and Communications Committee - CANCELLED,,00:00.0,00:00.0,,Global Lex,1306 Versailles Road,Suite 110,Lexington,Kentucky,40504,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,12:43.6,273,1,
17970,0,MIAAC Executive Committee,,00:00.0,00:00.0,,Global Lex,1306 Versailles Road,Suite 110,Lexington,Kentucky,40504,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,39:28.2,273,0,
17973,0,MIAAC Executive Committee,,00:00.0,00:00.0,,Global Lex,1306 Versailles Road,Suite 110,Lexington,Kentucky,40504,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,39:28.2,273,1,
17841,0,Mayor壽猻 International Affairs Advisory Commission,,30:00.0,00:00.0,,GLOBAL LEX,1306 Versailles Road,Suite 110,,Kentucky,,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,54:22.6,47,0,
17844,0,Mayor壽猻 International Affairs Advisory Commission,,30:00.0,00:00.0,,GLOBAL LEX,1306 Versailles Road,Suite 110,,Kentucky,,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,54:22.6,47,1,
15954,15890,Congestion Management Committee,CMC,30:00.0,00:00.0,,Phoenix Building (7th floor conference room),101 E. Vine Street 7th Floor,Lexington,Kentucky,40507,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,59:10.6,235,1,,
15916,15890,Congestion Management Committee,CMC,30:00.0,00:00.0,,Phoenix Building (7th floor conference room),101 E. Vine Street 7th Floor,Lexington,Kentucky,40507,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,59:10.6,235,0,,
17718,0,Courthouse Area Design Review Board,,00:00.0,00:00.0,,Council Chamber,200 E. Main Street,,Kentucky,,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,16:30.4,47,0,,
17722,0,Courthouse Area Design Review Board,,00:00.0,00:00.0,,Council Chamber,200 E. Main Street,,Kentucky,,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,16:30.4,47,1,,
17752,0,Board of Architectural Review,,00:00.0,00:00.0,,Council Chambers,200 East Main Street,Lexington,Kentucky,40507,,,0,0,0,0,0,0,0,0,1/1/1900 0:00:00,56:02.0,50,0,,
17767,0,Board of Architectural Review,,00:00.0,00:00.0,,Council Chambers,200 East Main Street,Lexington,Kentucky,40507,,,0,0,0,0,0,0,0,0,1/1/1900 0:00:00,56:02.0,50,1,,
16868,16849,Planning Commission Meeting - Subdivision Items,,30:00.0,00:00.0,$0,Council Chambers,2nd Floor,200 East Main Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,51:17.9,67,1,
16856,16849,Planning Commission Meeting - Subdivision Items,,30:00.0,00:00.0,$0,Council Chambers,2nd Floor,200 East Main Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,51:17.9,67,0,
16892,16873,All Plan Certifications for Technical Committee Review - Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,00:28.1,67,1,
16880,16873,All Plan Certifications for Technical Committee Review - Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,00:28.1,67,0,
